,created_at,date_of_purchase,description,id,last_tag_date,name,serial_number,updated_at
106,2018-03-14T20:46:07.380Z,2012-11-23T00:00:00.000Z,EBot,5aa98a0f61f7fe21708810ba,,EBot 61612,61612,2018-03-14T20:46:07.380Z
107,2018-03-14T20:48:08.063Z,2012-11-16T00:00:00.000Z,EBot,5aa98a8861f7fe21708810bc,,EBot 61613,61613,2018-03-14T20:48:08.063Z
108,2018-03-14T20:49:23.105Z,2012-11-23T00:00:00.000Z,EBot,5aa98ad361f7fe21908810d0,,EBot 61614,61614,2018-03-14T20:49:23.105Z
109,2018-03-14T20:50:07.906Z,2012-11-23T00:00:00.000Z,EBot,5aa98aff61f7fe21908810d3,,EBot 61615,61615,2018-03-14T20:50:07.906Z
110,2018-03-14T20:50:45.878Z,2013-04-05T00:00:00.000Z,EBot,5aa98b2561f7fe21708810bf,,EBot 61776,61776,2018-03-14T20:51:06.756Z
111,2018-03-14T20:53:15.345Z,2013-04-05T00:00:00.000Z,EBot,5aa98bbb61f7fe21708810c2,2018-04-27T12:23:46.454+00:00,EBot 61777,61777,2018-03-14T20:53:15.345Z
112,2018-03-14T20:55:42.561Z,2013-04-05T00:00:00.000Z,EBot,5aa98c4e61f7fe21708810c4,,EBot 61778,61778,2018-03-14T20:55:42.561Z
113,2018-03-14T20:56:39.803Z,2013-04-05T00:00:00.000Z,EBot,5aa98c8761f7fe21708810c6,,EBot 61780,61780,2018-03-14T20:56:39.803Z
114,2018-03-14T20:57:24.473Z,2013-04-05T00:00:00.000Z,EBot,5aa98cb461f7fe21708810c8,,EBot 61781,61781,2018-03-14T20:57:24.473Z
115,2018-03-14T20:57:59.031Z,2013-04-05T00:00:00.000Z,EBot,5aa98cd761f7fe21908810dd,,EBot 61782,61782,2018-03-14T20:57:59.031Z
116,2018-03-14T20:59:09.621Z,2013-04-05T00:00:00.000Z,EBot,5aa98d1d61f7fe21908810de,2018-04-26T01:27:41.305+00:00,EBot 61783,61783,2018-03-14T20:59:09.621Z
117,2018-03-14T20:59:45.289Z,2013-04-05T00:00:00.000Z,EBot,5aa98d4161f7fe21708810cc,,EBot 61784,61784,2018-03-14T20:59:45.289Z
118,2018-03-14T21:00:27.185Z,2013-04-05T00:00:00.000Z,EBot,5aa98d6b61f7fe21908810e1,,EBot 61786,61786,2018-03-14T21:00:27.185Z
119,2018-03-14T21:01:08.449Z,2013-04-08T00:00:00.000Z,EBot,5aa98d9461f7fe21708810d0,,EBot 61789,61789,2018-03-14T21:01:08.449Z
120,2018-03-14T21:01:52.024Z,2013-08-05T00:00:00.000Z,EBot,5aa98dc061f7fe21908810e4,,EBot 61937,61937,2018-03-14T21:02:00.721Z
121,2018-03-14T21:02:37.303Z,2013-08-05T00:00:00.000Z,EBot,5aa98ded61f7fe21908810e6,,EBot 61938,61938,2018-03-14T21:02:37.303Z
122,2018-03-14T21:03:10.768Z,2013-08-13T00:00:00.000Z,EBot,5aa98e0e61f7fe21708810d3,,EBot 61939,61939,2018-03-14T21:03:10.768Z
123,2018-03-14T21:03:46.232Z,2013-08-05T00:00:00.000Z,EBot,5aa98e3261f7fe21908810e8,,EBot 61940,61940,2018-03-14T21:03:46.232Z
124,2018-03-14T21:04:20.633Z,2013-08-05T00:00:00.000Z,EBot,5aa98e5461f7fe21908810e9,,EBot 61941,61941,2018-03-14T21:04:20.633Z
125,2018-03-14T21:04:54.868Z,2013-08-05T00:00:00.000Z,EBot,5aa98e7661f7fe21908810eb,,EBot 61942,61942,2018-03-14T21:04:54.868Z
126,2018-03-14T21:05:30.512Z,2013-08-05T00:00:00.000Z,EBot,5aa98e9a61f7fe21908810ec,,EBot 61943,61943,2018-03-14T21:05:30.512Z
127,2018-03-14T21:06:11.507Z,2013-08-13T00:00:00.000Z,EBot,5aa98ec361f7fe21708810da,,EBot 61944,61944,2018-03-14T21:06:11.507Z
128,2018-03-14T21:06:52.728Z,2013-08-13T00:00:00.000Z,EBot,5aa98eec61f7fe21708810dc,,EBot 61945,61945,2018-03-14T21:06:52.728Z
129,2018-03-14T21:07:41.433Z,2013-08-13T00:00:00.000Z,EBot,5aa98f1d61f7fe21708810de,,EBot 61946,61946,2018-03-14T21:07:41.433Z
130,2018-03-14T21:08:22.359Z,2013-10-04T00:00:00.000Z,EBot,5aa98f4661f7fe21708810e0,,EBot 62009,62009,2018-03-14T21:08:22.359Z
131,2018-03-14T21:09:17.511Z,2013-10-09T00:00:00.000Z,EBot,5aa98f7d61f7fe21908810ee,2018-04-27T14:27:52.082+00:00,EBot 62017,62017,2018-03-14T21:09:17.511Z
132,2018-03-14T21:10:02.361Z,2013-10-09T00:00:00.000Z,EBot,5aa98faa61f7fe21708810e2,2018-04-26T01:27:08.017+00:00,EBot 62018,62018,2018-03-14T21:10:02.361Z
133,2018-03-14T21:21:58.430Z,2013-10-09T00:00:00.000Z,EBot,5aa9927661f7fe21908810f3,,EBot 62019,62019,2018-03-14T21:21:58.430Z
134,2018-03-14T21:22:45.643Z,2013-10-09T00:00:00.000Z,EBot,5aa992a561f7fe21908810f6,,EBot 62020,62020,2018-03-14T21:22:45.643Z
135,2018-03-15T13:46:11.976Z,2013-10-09T00:00:00.000Z,EBot,5aaa792394042f0b082b0337,,EBot 62022,62022,2018-03-15T13:46:11.976Z
136,2018-03-15T13:47:22.939Z,2013-10-09T00:00:00.000Z,EBot,5aaa796a94042f16132b02d5,,EBot 62023,62023,2018-03-15T13:47:22.939Z
137,2018-03-15T13:49:41.411Z,2013-11-14T00:00:00.000Z,EBot,5aaa79f594042f0b082b0346,,EBot 62039,62039,2018-03-15T13:49:41.411Z
